TimeStamp,Open,Close,High,Low,Volume
06 April 2020,7529.424918,7373.194868,7546.840017,7373.194868,52589773498
05 April 2020,6836.683525,6795.963883,6836.683525,6795.963883,32041175037
04 April 2020,6835.707673,6876.872648,6890.861378,6835.707673,36022605774
03 April 2020,6831.083806,6755.010057,6876.151477,6755.010057,45350647058
02 April 2020,6769.15203,6825.991842,7011.531218,6746.718939,51567805524
01 April 2020,6532.811655,6660.848728,6660.848728,6474.258287,41213535115
31 March 2020,6443.425213,6449.00333,6482.638456,6443.425213,34371640820
30 March 2020,6097.068786,6425.777459,6435.183301,6097.068786,39501518325
29 March 2020,6100.106712,5908.077937,6100.106712,5908.077937,28928537030
28 March 2020,6390.434435,6284.506191,6390.434435,6259.591895,36242971577
27 March 2020,6574.152229,6390.43535,6574.152229,6390.43535,35660962807
26 March 2020,6773.347996,6758.979082,6773.347996,6741.710435,37555734819
25 March 2020,6708.879135,6693.196774,6738.958358,6597.002714,45598217753
24 March 2020,6547.53249,6753.92934,6753.92934,6547.53249,50109782261
23 March 2020,6112.407317,6499.105449,6529.552943,6112.354491,49670724279
22 March 2020,5949.87794,5840.761659,6029.869308,5840.761659,40178738670
21 March 2020,6204.90753,6211.221644,6299.103739,6148.288053,44829488401
20 March 2020,6130.82461,6205.944424,6465.64156,6029.397176,55416248851
19 March 2020,5831.937765,6241.590605,6324.838409,5796.848404,55489037818
18 March 2020,5414.505103,5446.154338,5446.154338,5308.269014,43338259003
17 March 2020,5185.399726,5378.092639,5397.488902,5185.399726,40925496446
16 March 2020,5129.082984,5062.211487,5129.082984,4791.033733,48087402223
15 March 2020,5237.717526,5382.24314,5547.607064,5237.717526,39239838261
14 March 2020,5357.062402,5232.753881,5357.062402,5232.753881,44969826785
13 March 2020,5509.156192,5695.724804,5711.535064,5167.432469,85246563655
12 March 2020,6419.336976,4906.81238,6425.076737,4906.81238,54192741503
11 March 2020,7762.293632,7965.791815,7999.942877,7762.293632,40159260284
10 March 2020,7926.381794,7938.75944,7970.977947,7926.381794,41810939697
09 March 2020,8106.754543,7994.94609,8106.754543,7994.94609,51572581262
08 March 2020,7882.937627,8000.318905,8071.397488,7882.937627,41096832565
07 March 2020,9026.771039,8885.630808,9032.480553,8885.630808,36531986749
06 March 2020,9648.177859,9284.627105,9719.123154,9284.627105,45492512071
05 March 2020,8922.734443,9060.317356,9060.317356,8922.734443,42209190629
04 March 2020,8822.151942,8826.317397,8889.266876,8822.151942,42912605833
03 March 2020,8696.549176,8770.382038,8787.989389,8696.549176,72252909051
02 March 2020,8997.796117,8960.713647,9084.092319,8960.713647,63862454312
01 March 2020,8482.250439,8504.587198,8600.729491,8482.250439,37056607372
29 February 2020,8416.01862,8502.342293,8537.120273,8416.01862,38513796241
28 February 2020,8786.345833,8713.808003,8867.677111,8713.808003,46309887269
27 February 2020,8925.425878,8785.075402,9079.301661,8785.075402,49560062300
26 February 2020,8693.23268,8820.015933,8906.735937,8693.23268,51692908880
25 February 2020,9128.104864,9298.814752,9303.086229,9128.104864,45011800564
24 February 2020,9735.756219,9668.898117,9735.756219,9668.898117,45294726549
23 February 2020,10093.08918,10018.66628,10134.70749,10018.66628,40629754392
22 February 2020,9626.611189,9696.027328,9771.27285,9626.611189,32484889418
21 February 2020,9879.910127,9738.050195,9985.102689,9738.050195,39381890480
20 February 2020,9547.00267,9660.560817,9864.283971,9547.00267,47221385656
19 February 2020,9584.608646,9591.088147,9591.088147,9572.118465,45713789700
18 February 2020,10232.44081,10183.14403,10359.17169,10183.14403,50979660162
17 February 2020,10163.72454,9792.454647,10522.73433,9792.454647,50445985308
16 February 2020,9723.446612,9908.694513,10284.47683,9723.446612,44530428964
15 February 2020,9827.392973,9865.345798,9938.107951,9827.392973,44396958650
14 February 2020,10749.02528,10434.82087,10898.62586,10434.82087,45218036174
13 February 2020,10507.44817,10221.9356,10571.09739,10221.9356,52285109387
12 February 2020,11270.92068,10433.77624,11289.81104,10433.77624,45554713820
11 February 2020,10250.61392,10305.15397,10305.15397,10250.61392,39100941077
10 February 2020,10022.53818,9868.763491,10022.53818,9868.763491,39067592432
09 February 2020,10013.66081,10175.4179,10175.4179,10013.66081,37514468659
08 February 2020,9832.034998,9842.312936,10018.59702,9832.034998,34322540154
07 February 2020,10157.97615,9840.967369,10182.46223,9840.967369,36477997527
06 February 2020,9928.261259,9770.881765,9942.135589,9770.881765,39924251773
05 February 2020,9629.11485,9634.18212,9647.563051,9629.11485,36014335825
04 February 2020,9287.349874,9200.539284,9287.349874,9200.539284,31084766099
03 February 2020,9369.886039,9327.248396,9402.105755,9327.248396,32331883437
02 February 2020,9599.613769,9322.847841,9599.613769,9322.847841,32933753375
01 February 2020,9505.966476,9414.228645,9522.408006,9414.228645,27701504697
31 January 2020,9408.169108,9337.993804,9408.169108,9337.993804,32985155085
30 January 2020,9613.542757,9542.749953,9618.759294,9542.749953,33292487646
29 January 2020,9283.192976,9282.931033,9283.192976,9277.20263,32520401786
28 January 2020,9050.69425,9360.609443,9360.609443,9047.502353,37864281654
27 January 2020,8701.498898,8887.193859,8887.193859,8701.498898,30237575888
26 January 2020,8616.089109,8637.59222,8637.59222,8616.089109,21648627323
25 January 2020,8399.161418,8367.077001,8427.78342,8367.077001,20484274555
24 January 2020,8400.074978,8470.876278,8510.873462,8400.074978,25222297120
23 January 2020,8541.64131,8408.892254,8541.64131,8408.892254,26984769225
22 January 2020,8688.34741,8688.762381,8725.943478,8688.34741,25102634037
21 January 2020,8756.358084,8748.071859,8756.358084,8740.937134,25719709540
20 January 2020,8728.270439,8664.772109,8745.659912,8664.772109,29155182795
19 January 2020,8663.331746,8716.351043,8733.723498,8663.331746,39385514327
18 January 2020,9089.56749,8876.529405,9192.937872,8876.529405,35621604450
17 January 2020,8925.784928,8903.76523,8944.226337,8903.76523,40308831459
16 January 2020,8785.976207,8751.008633,8809.379548,8751.008633,35953489325
15 January 2020,8957.110539,8844.192983,8960.935492,8844.192983,46283507974
14 January 2020,8797.844899,8867.649422,8896.459486,8797.844899,46850776937
13 January 2020,8112.019325,8143.698438,8160.541938,8112.019325,26535755627
12 January 2020,8223.391308,8227.670819,8253.286912,8223.391308,26478086150
11 January 2020,8129.290271,8053.56665,8129.290271,8053.56665,30713703767
10 January 2020,8070.709779,8203.559753,8203.559753,8049.100789,32503034107
09 January 2020,8016.09117,7855.562163,8016.09117,7855.562163,29292354460
08 January 2020,8054.403155,8101.841538,8200.316059,8054.403155,36942958895
07 January 2020,7741.551499,8138.543013,8138.543013,7741.551499,32114808281
06 January 2020,7665.018112,7768.608009,7768.608009,7665.018112,25086932713
05 January 2020,7424.273714,7378.575438,7444.0923,7378.575438,20029361561
04 January 2020,7390.938243,7388.589251,7405.076434,7388.589251,19680767448
03 January 2020,7237.947791,7371.047881,7371.047881,7237.947791,28423893265
02 January 2020,7068.746477,6993.513608,7068.746477,6993.513608,18405303084
01 January 2020,7260.080879,7206.722254,7316.738191,7206.722254,16641585282
31 December 2019,7168.609794,7179.334932,7219.619419,7168.609794,18417333884
30 December 2019,7320.92197,7270.861543,7327.265324,7270.861543,21124629573
29 December 2019,7614.474484,7443.617198,7619.74453,7443.617198,21479566056
28 December 2019,7359.136454,7347.09078,7376.201412,7347.09078,20140956233
27 December 2019,7253.684912,7270.391547,7270.391547,7253.684912,24239355935
26 December 2019,7251.110794,7227.643833,7258.918033,7227.643833,20335281549
25 December 2019,7166.669191,7226.754945,7251.770207,7166.669191,20878514003
24 December 2019,7335.307237,7292.561473,7341.039497,7292.561473,25588354643
23 December 2019,7343.866651,7337.765003,7385.154649,7337.765003,26362054858
22 December 2019,7371.121424,7498.662729,7498.662729,7371.121424,20253282137
21 December 2019,7180.080543,7175.989724,7199.850724,7175.989724,17764286495
20 December 2019,7197.164558,7228.393097,7229.516555,7197.164558,21605886337
19 December 2019,7053.502133,7188.922786,7242.993055,7053.502133,28414201094
18 December 2019,6938.661079,7254.649983,7254.649983,6938.661079,32895703004
